name,week_k_max,rsi_max,require_k_cross,require_macd_improve,require_close_ma20,require_twii_ma20,stop_loss,take_profit,max_hold,trades_train,win_rate_train,avg_return_train,profit_factor_train,max_drawdown_train,cagr_train,total_return_train,trades_test,win_rate_test,avg_return_test,profit_factor_test,max_drawdown_test,cagr_test,total_return_test,score,description,wf_windows,wf_positive_windows,wf_median_pf,wf_median_return,final_score
S06500,40,45,False,True,False,False,0.07,0.15,40,19,0.47368421052631576,0.02826161531100845,1.800565153637995,-0.31471409595837174,0.06463957285545718,0.5408334342096146,5,0.6,0.07197134473614976,5.401956076961711,-0.07279800000000003,0.2116077452662073,0.3873596288153216,10.338862828536005,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長40日,4,3,2.6423901578376414,0.27899528047407696,10.826362828536006
S05919,40,40,False,True,False,False,0.07,0.1,30,16,0.625,0.03345200000000002,2.22538164967902,-0.20288115014183394,0.0719942240849738,0.6066159129605375,5,0.6,0.04158652388829808,3.4850510168653983,-0.07279800000000003,0.11960377069614658,0.21139323243224184,10.317027695984235,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長30日,4,3,2.410140003336405,0.1505438570325297,10.804527695984236
S06493,40,45,False,True,False,False,0.07,0.1,10,21,0.6190476190476191,0.016050960586181877,1.7480244524009076,-0.15199498310043436,0.04343448121395799,0.3407501112603999,6,0.8333333333333334,0.04917688868814762,5.0531516268151035,-0.07279799999999992,0.17768592876190414,0.31998879082958553,10.175429652805805,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利10%｜最長10日,4,4,2.025902798274245,0.19717786395069747,10.725429652805806
S06481,40,45,False,True,False,False,0.05,0.1,10,22,0.5909090909090909,0.01837600783226453,2.0544071104768977,-0.1365958562815306,0.0546604815118823,0.44344396113924955,7,0.7142857142857143,0.037466190304126505,3.483648359112896,-0.10280837119600006,0.1556177173582336,0.2772652488318814,9.990786874042987,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利10%｜最長10日,4,4,2.5391586790609564,0.24579808647169488,10.540786874042988
S06510,40,45,False,True,False,False,0.09,0.15,20,20,0.55,0.0191886127074185,1.535679261401887,-0.263374329218548,0.04281506998229867,0.3355771907811911,5,0.8,0.08702717320006673,14.705422495882722,-0.031749175636946125,0.2644246299946964,0.4988205589783541,9.943845283799652,周KD<40｜RSI<45｜MACD改善｜停損9%｜停利15%｜最長20日,4,3,1.7966115753975904,0.2124002487422335,10.400837020109291
S05908,40,40,False,True,False,False,0.05,0.1,40,16,0.625,0.04095200000000006,3.0683611752970466,-0.15017829481359357,0.09231109364606205,0.8260873335187608,6,0.5,0.029509787280124888,2.5457261784843723,-0.10280837119599995,0.09970649694562117,0.1744647622007871,9.532983111891419,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長40日,4,4,2.1933714418313004,0.19343246079429155,10.08298311189142
S05907,40,40,False,True,False,False,0.05,0.1,30,16,0.625,0.04095200000000006,3.0683611752970466,-0.15017829481359357,0.09231109364606205,0.8260873335187608,6,0.5,0.02918910324024838,2.50367084687822,-0.10280837119600006,0.09844413273150132,0.17218455884265293,9.374853656520417,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長30日,4,4,2.172343776028224,0.19229235911522446,9.924853656520417
S05930,40,40,False,True,False,False,0.09,0.1,20,16,0.625,0.02386850420393246,1.8204895924145081,-0.18197893857796066,0.04854893947126593,0.3817029616325145,5,0.8,0.04481740832745606,3.4147830948649798,-0.09279799999999983,0.12938130298827621,0.22858681573750794,9.300418351585941,周KD<40｜RSI<40｜MACD改善｜停損9%｜停利10%｜最長20日,4,4,1.85519922215515,0.14028363679163836,9.828698234909213
S06505,40,45,False,True,False,False,0.09,0.1,10,21,0.6190476190476191,0.010336674871896176,1.3804151886643083,-0.22282829855537956,0.023825832532446523,0.17632053118889202,6,0.8333333333333334,0.045843555354814276,3.9640868567090433,-0.09279799999999983,0.16322087623463966,0.2915162726333438,9.243889452594322,周KD<40｜RSI<45｜MACD改善｜停損9%｜停利10%｜最長10日,4,4,1.6009292907803845,0.12197905551969657,9.73402884621138
S05794,40,40,False,False,False,False,0.09,0.2,20,24,0.5416666666666666,0.017441474997485735,1.4174079220755664,-0.32264553810933194,0.04216440758821238,0.33028720041443793,5,0.8,0.05174904762611149,3.78826308897344,-0.09279800000000005,0.1435682286406501,0.25896767233261064,9.002232519307706,周KD<40｜RSI<40｜停損9%｜停利20%｜最長20日,4,3,1.4235486324990991,0.14850564053838755,9.40326481418257
